#timestamp x y z qx qy qz qw
1720446778.058939 -6.497396 -3.909239 0.000000 0.000000 0.000000 0.963146 -0.268980
1720446783.299678 -6.480788 -3.906470 0.000000 0.000000 0.000000 0.948268 -0.317470
1720446784.639953 -6.511011 -3.928760 0.000000 0.000000 0.000000 0.963390 -0.268102
1720446786.924863 -6.420067 -3.879706 0.000000 0.000000 0.000000 0.966701 -0.255909
1720446788.343098 -6.321509 -3.826359 0.000000 0.000000 0.000000 0.967444 -0.253085
1720446789.839432 -6.234504 -3.785733 0.000000 0.000000 0.000000 0.978772 -0.204951
1720446790.705449 -6.135185 -3.740648 0.000000 0.000000 0.000000 0.969329 -0.245767
1720446791.492912 -6.045200 -3.687489 0.000000 0.000000 0.000000 0.956782 -0.290808
1720446794.565185 -5.961910 -3.626160 0.000000 0.000000 0.000000 0.940627 -0.339443
1720446795.589084 -5.880354 -3.559202 0.000000 0.000000 0.000000 0.953851 -0.300279
1720446795.667769 -5.875012 -3.555256 0.000000 0.000000 0.000000 0.956146 -0.292890
1720446796.219104 -5.840285 -3.527877 0.000000 0.000000 0.000000 0.971232 -0.238134
1720446796.692015 -5.810985 -3.510279 0.000000 0.000000 0.000000 0.981799 -0.189924
1720446797.086122 -5.842016 -3.521441 0.000000 0.000000 0.000000 0.991719 -0.128427
1720446797.401154 -5.915025 -3.538193 0.000000 0.000000 0.000000 0.997928 -0.064344
1720446797.716045 -5.993662 -3.544495 0.000000 0.000000 0.000000 1.000000 0.000168
1720446798.031050 -6.076239 -3.547845 0.000000 0.000000 0.000000 0.997971 0.063664
1720446798.345911 -6.152307 -3.532594 0.000000 0.000000 0.000000 0.991997 0.126263
1720446798.739485 -6.260599 -3.497396 0.000000 0.000000 0.000000 0.984634 0.174631
1720446799.054021 -6.358741 -3.455726 0.000000 0.000000 0.000000 0.983819 0.179165
1720446799.447373 -6.472939 -3.410426 0.000000 0.000000 0.000000 0.987557 0.157260
1720446800.392457 -6.492442 -3.395448 0.000000 0.000000 0.000000 0.995364 0.096178
1720446800.707270 -6.485994 -3.392075 0.000000 0.000000 0.000000 0.999546 0.030135
1720446801.022355 -6.475105 -3.390252 0.000000 0.000000 0.000000 0.999368 -0.035550
1720446802.598574 -6.374452 -3.384708 0.000000 0.000000 0.000000 0.997500 -0.070667
1720446803.308153 -6.264470 -3.372667 0.000000 0.000000 0.000000 0.999796 -0.020191
1720446803.701854 -6.156430 -3.375392 0.000000 0.000000 0.000000 0.999723 -0.023517
1720446804.095547 -6.028015 -3.361956 0.000000 0.000000 0.000000 0.998587 -0.053145
1720446804.489729 -5.924304 -3.349304 0.000000 0.000000 0.000000 0.997541 -0.070082
1720446804.962336 -5.814309 -3.329106 0.000000 0.000000 0.000000 0.995449 -0.095299
1720446805.276834 -5.743114 -3.313743 0.000000 0.000000 0.000000 0.986476 -0.163905
1720446805.513006 -5.706643 -3.299259 0.000000 0.000000 0.000000 0.971765 -0.235950
1720446805.670352 -5.683817 -3.282285 0.000000 0.000000 0.000000 0.957346 -0.288943
1720446805.827906 -5.667265 -3.260041 0.000000 0.000000 0.000000 0.940474 -0.339867
1720446805.999814 -5.641001 -3.261104 0.000000 0.000000 0.000000 0.919443 -0.393224
1720446806.221635 -5.615096 -3.224658 0.000000 0.000000 0.000000 0.887236 -0.461316
1720446806.457943 -5.596355 -3.194116 0.000000 0.000000 0.000000 -0.851428 0.524472
1720446806.708523 -5.590521 -3.178593 0.000000 0.000000 0.000000 -0.818009 0.575205
1720446808.585725 -5.557711 -3.047256 0.000000 0.000000 0.000000 -0.802019 0.597298
1720446810.318767 -5.565537 -3.115018 0.000000 0.000000 0.000000 -0.767199 0.641409
1720446810.790650 -5.575224 -3.207197 0.000000 0.000000 0.000000 -0.728906 0.684613
1720446811.184273 -5.569381 -3.284184 0.000000 0.000000 0.000000 -0.687100 0.726562
1720446811.499580 -5.571743 -3.316479 0.000000 0.000000 0.000000 -0.638429 0.769681
1720446811.814675 -5.569927 -3.358414 0.000000 0.000000 0.000000 -0.591587 0.806241
1720446812.130001 -5.551539 -3.415302 0.000000 0.000000 0.000000 -0.544998 0.838438
1720446813.785032 -5.501572 -3.519763 0.000000 0.000000 0.000000 -0.555689 0.831391
1720446814.257747 -5.456832 -3.613545 0.000000 0.000000 0.000000 -0.580324 0.814386
1720446814.730435 -5.433228 -3.716250 0.000000 0.000000 0.000000 -0.606083 0.795402
1720446815.203086 -5.403646 -3.819381 0.000000 0.000000 0.000000 -0.631636 0.775265
1720446815.675179 -5.381222 -3.920552 0.000000 0.000000 0.000000 -0.640090 0.768300
1720446816.935714 -5.362415 -4.031783 0.000000 0.000000 0.000000 -0.620401 0.784285
1720446818.825574 -5.378697 -3.983552 0.000000 0.000000 0.000000 -0.571117 0.820868
1720446819.061423 -5.398359 -3.935113 0.000000 0.000000 0.000000 -0.527938 0.849283
1720446819.297646 -5.427685 -3.889208 0.000000 0.000000 0.000000 -0.484331 0.874885
1720446819.533689 -5.461556 -3.860475 0.000000 0.000000 0.000000 -0.440479 0.897763
1720446819.769593 -5.498658 -3.816016 0.000000 0.000000 0.000000 -0.394455 0.918915
1720446820.006053 -5.533891 -3.758013 0.000000 0.000000 0.000000 -0.344686 0.938718
1720446820.715126 -5.573311 -3.724812 0.000000 0.000000 0.000000 -0.401183 0.915998
1720446820.951011 -5.585332 -3.704490 0.000000 0.000000 0.000000 -0.451028 0.892510
1720446821.187390 -5.589794 -3.690657 0.000000 0.000000 0.000000 -0.502454 0.864604
1720446821.423746 -5.610716 -3.657516 0.000000 0.000000 0.000000 -0.546448 0.837493
1720446821.906302 -5.645441 -3.582211 0.000000 0.000000 0.000000 -0.589766 0.807574
1720446822.447029 -5.666264 -3.475133 0.000000 0.000000 0.000000 -0.631972 0.774991
1720446822.840890 -5.672933 -3.400225 0.000000 0.000000 0.000000 -0.673811 0.738904
1720446823.166415 -5.696959 -3.344879 0.000000 0.000000 0.000000 -0.710379 0.703819
1720446823.481639 -5.678054 -3.294707 0.000000 0.000000 0.000000 -0.750659 0.660690
1720446823.796809 -5.669202 -3.216587 0.000000 0.000000 0.000000 -0.786392 0.617728
1720446824.179567 -5.642686 -3.112253 0.000000 0.000000 0.000000 -0.817391 0.576084
1720446824.269044 -5.635520 -3.087779 0.000000 0.000000 0.000000 -0.823098 0.567899
1720446824.652186 -5.587498 -2.992452 0.000000 0.000000 0.000000 -0.850450 0.526057
1720446825.045839 -5.539769 -2.904594 0.000000 0.000000 0.000000 0.876325 -0.481721
1720446825.439562 -5.483840 -2.825426 0.000000 0.000000 0.000000 0.901152 -0.433503
1720446825.518316 -5.461050 -2.802539 0.000000 0.000000 0.000000 0.905667 -0.423991
1720446825.911829 -5.399909 -2.724260 0.000000 0.000000 0.000000 0.926856 -0.375418
1720446826.001981 -5.390749 -2.705024 0.000000 0.000000 0.000000 0.932910 -0.360110
1720446826.384391 -5.295379 -2.649755 0.000000 0.000000 0.000000 0.949662 -0.313277
1720446826.777915 -5.214615 -2.582314 0.000000 0.000000 0.000000 0.964872 -0.262721
1720446827.171336 -5.130368 -2.531633 0.000000 0.000000 0.000000 0.968434 -0.249269
1720446829.060854 -5.028020 -2.483331 0.000000 0.000000 0.000000 0.962566 -0.271048
1720446830.005787 -4.932480 -2.423781 0.000000 0.000000 0.000000 0.945968 -0.324259
1720446830.793565 -4.846033 -2.352929 0.000000 0.000000 0.000000 0.940895 -0.338699
1720446831.345327 -4.769502 -2.293443 0.000000 0.000000 0.000000 0.942447 -0.334357
1720446831.817780 -4.674193 -2.212325 0.000000 0.000000 0.000000 0.942565 -0.334022
1720446832.290483 -4.599149 -2.145428 0.000000 0.000000 0.000000 0.943633 -0.330993
1720446832.762874 -4.521768 -2.080344 0.000000 0.000000 0.000000 0.949547 -0.313625
1720446833.392928 -4.423486 -2.025590 0.000000 0.000000 0.000000 0.961668 -0.274218
1720446833.786784 -4.338819 -1.968745 0.000000 0.000000 0.000000 0.972664 -0.232217
1720446834.101668 -4.234218 -1.919935 0.000000 0.000000 0.000000 0.980360 -0.197219
1720446834.416548 -4.123124 -1.878875 0.000000 0.000000 0.000000 0.987323 -0.158725
1720446834.731446 -4.001874 -1.844663 0.000000 0.000000 0.000000 0.993123 -0.117074
1720446835.046373 -3.881107 -1.834544 0.000000 0.000000 0.000000 0.997459 -0.071247
1720446835.361364 -3.767671 -1.805006 0.000000 0.000000 0.000000 0.999788 -0.020590
1720446835.676344 -3.646424 -1.789239 0.000000 0.000000 0.000000 0.999557 0.029753
1720446835.991191 -3.532674 -1.802576 0.000000 0.000000 0.000000 0.996753 0.080526
1720446836.306127 -3.415774 -1.839974 0.000000 0.000000 0.000000 0.991557 0.129670
1720446836.621031 -3.298267 -1.850065 0.000000 0.000000 0.000000 0.984140 0.177391
1720446836.699835 -3.261397 -1.883872 0.000000 0.000000 0.000000 0.983418 0.181355
1720446836.935969 -3.164573 -1.916942 0.000000 0.000000 0.000000 0.980946 0.194281
1720446837.172088 -3.067372 -1.967795 0.000000 0.000000 0.000000 0.980108 0.198463
1720446837.408078 -2.966132 -2.003835 0.000000 0.000000 0.000000 0.978870 0.204484
1720446837.644212 -2.875219 -2.049779 0.000000 0.000000 0.000000 0.976953 0.213453
1720446837.722935 -2.834041 -2.064527 0.000000 0.000000 0.000000 0.976290 0.216467
1720446837.959384 -2.742683 -2.101003 0.000000 0.000000 0.000000 0.972885 0.231291
1720446838.195559 -2.657362 -2.145952 0.000000 0.000000 0.000000 0.969751 0.244095
1720446838.431797 -2.568524 -2.195217 0.000000 0.000000 0.000000 0.968516 0.248951
1720446838.746708 -2.450280 -2.256101 0.000000 0.000000 0.000000 0.973859 0.227153
1720446839.061313 -2.346878 -2.308467 0.000000 0.000000 0.000000 0.982386 0.186862
1720446839.533957 -2.251970 -2.340842 0.000000 0.000000 0.000000 0.989221 0.146428
1720446840.321817 -2.146489 -2.369457 0.000000 0.000000 0.000000 0.995656 0.093108
1720446842.054442 -2.265291 -2.346853 0.000000 0.000000 0.000000 0.997040 0.076883
