#timestamp x y z qx qy qz qw
1720108086.199424 -2.613773 -2.045351 0.000000 0.000000 0.000000 0.014717 0.999892
1720108096.407769 -2.704231 -2.052556 0.000000 0.000000 0.000000 0.069998 0.997547
1720108097.588691 -2.799079 -2.082484 0.000000 0.000000 0.000000 0.074590 0.997214
1720108098.689903 -2.912339 -2.089719 0.000000 0.000000 0.000000 0.039880 0.999205
1720108099.633753 -3.020630 -2.086946 0.000000 0.000000 0.000000 0.022882 0.999738
1720108100.499295 -3.128666 -2.102876 0.000000 0.000000 0.000000 0.017968 0.999839
1720108101.207220 -3.235596 -2.107925 0.000000 0.000000 0.000000 0.025415 0.999677
1720108101.836519 -3.350601 -2.099610 0.000000 0.000000 0.000000 0.040189 0.999192
1720108102.465261 -3.451087 -2.105634 0.000000 0.000000 0.000000 0.049850 0.998757
1720108103.173790 -3.543374 -2.115335 0.000000 0.000000 0.000000 0.057070 0.998370
1720108103.252751 -3.567882 -2.120437 0.000000 0.000000 0.000000 0.055644 0.998451
1720108104.196693 -3.681242 -2.131778 0.000000 0.000000 0.000000 0.026330 0.999653
1720108104.747231 -3.775488 -2.148404 0.000000 0.000000 0.000000 0.042561 0.999094
1720108105.376740 -3.882680 -2.157926 0.000000 0.000000 0.000000 0.050339 0.998732
1720108106.084492 -3.995576 -2.162031 0.000000 0.000000 0.000000 0.041022 0.999158
1720108106.792614 -4.100846 -2.176093 0.000000 0.000000 0.000000 0.021756 0.999763
1720108107.579222 -4.201010 -2.179253 0.000000 0.000000 0.000000 0.002965 0.999996
1720108108.365727 -4.319834 -2.170266 0.000000 0.000000 0.000000 -0.021015 0.999779
1720108108.916445 -4.422838 -2.163323 0.000000 0.000000 0.000000 -0.013195 0.999913
1720108109.422132 -4.533773 -2.165389 0.000000 0.000000 0.000000 0.015401 0.999881
1720108109.894362 -4.629910 -2.187035 0.000000 0.000000 0.000000 0.039458 0.999221
1720108109.939522 -4.656267 -2.172783 0.000000 0.000000 0.000000 0.049015 0.998798
1720108110.490213 -4.752632 -2.193621 0.000000 0.000000 0.000000 0.073056 0.997328
1720108111.120128 -4.865045 -2.206173 0.000000 0.000000 0.000000 0.106140 0.994351
1720108113.009614 -4.973068 -2.226987 0.000000 0.000000 0.000000 0.151280 0.988491
1720108113.639958 -5.060608 -2.260928 0.000000 0.000000 0.000000 0.197971 0.980208
1720108114.191709 -5.134811 -2.296250 0.000000 0.000000 0.000000 0.250028 0.968239
1720108114.743079 -5.216488 -2.339922 0.000000 0.000000 0.000000 0.304346 0.952562
1720108115.294195 -5.279392 -2.389721 0.000000 0.000000 0.000000 0.353842 0.935305
1720108115.845865 -5.331731 -2.453463 0.000000 0.000000 0.000000 0.403945 0.914783
1720108118.131799 -5.393471 -2.536116 0.000000 0.000000 0.000000 0.434055 0.900887
1720108118.919823 -5.467067 -2.624464 0.000000 0.000000 0.000000 0.470916 0.882178
1720108119.550000 -5.513112 -2.708103 0.000000 0.000000 0.000000 0.520134 0.854085
1720108120.101089 -5.543069 -2.774471 0.000000 0.000000 0.000000 0.569794 0.821787
1720108120.573681 -5.561852 -2.819842 0.000000 0.000000 0.000000 0.616316 0.787499
1720108121.046156 -5.575867 -2.871707 0.000000 0.000000 0.000000 0.654215 0.756309
1720108123.251427 -5.573790 -2.898567 0.000000 0.000000 0.000000 0.693732 0.720233
1720108123.960410 -5.578885 -2.912325 0.000000 0.000000 0.000000 0.733755 0.679415
1720108124.506611 -5.582421 -2.894467 0.000000 0.000000 0.000000 0.772681 0.634794
1720108124.983858 -5.588662 -2.844770 0.000000 0.000000 0.000000 0.802508 0.596641
1720108125.377123 -5.605494 -2.794824 0.000000 0.000000 0.000000 0.831930 0.554880
1720108125.692144 -5.628007 -2.768589 0.000000 0.000000 0.000000 0.866570 0.499056
1720108125.927971 -5.633531 -2.760331 0.000000 0.000000 0.000000 0.892853 0.450348
1720108126.164124 -5.647340 -2.744704 0.000000 0.000000 0.000000 0.919299 0.393560
1720108126.400124 -5.655453 -2.734180 0.000000 0.000000 0.000000 0.941409 0.337266
1720108126.635996 -5.667884 -2.726414 0.000000 0.000000 0.000000 0.958833 0.283970
1720108126.872220 -5.683128 -2.722598 0.000000 0.000000 0.000000 0.973670 0.227963
1720108127.108175 -5.697095 -2.710331 0.000000 0.000000 0.000000 0.985600 0.169091
1720108127.344368 -5.714521 -2.700514 0.000000 0.000000 0.000000 0.993821 0.110994
1720108127.580211 -5.727435 -2.701886 0.000000 0.000000 0.000000 0.998592 0.053046
1720108127.816435 -5.739483 -2.698602 0.000000 0.000000 0.000000 0.999999 -0.001028
1720108128.052500 -5.765042 -2.694198 0.000000 0.000000 0.000000 0.997828 -0.065873
1720108128.288633 -5.768940 -2.706109 0.000000 0.000000 0.000000 0.992480 -0.122408
1720108128.524902 -5.792426 -2.711278 0.000000 0.000000 0.000000 0.982705 -0.185176
1720108128.759903 -5.813059 -2.732753 0.000000 0.000000 0.000000 0.969624 -0.244599
1720108128.997050 -5.849782 -2.743753 0.000000 0.000000 0.000000 0.954019 -0.299746
1720108129.312143 -5.919778 -2.806857 0.000000 0.000000 0.000000 0.935971 -0.352076
1720108129.626870 -6.000404 -2.891122 0.000000 0.000000 0.000000 0.920607 -0.390490
1720108129.941621 -6.084035 -2.978005 0.000000 0.000000 0.000000 0.904817 -0.425802
1720108130.256533 -6.151927 -3.077893 0.000000 0.000000 0.000000 0.890765 -0.454465
1720108130.571676 -6.239255 -3.171910 0.000000 0.000000 0.000000 0.891006 -0.453993
1720108130.887070 -6.317017 -3.267939 0.000000 0.000000 0.000000 0.905594 -0.424146
1720108131.202011 -6.390135 -3.364317 0.000000 0.000000 0.000000 0.926312 -0.376756
1720108131.516845 -6.465364 -3.449884 0.000000 0.000000 0.000000 0.945976 -0.324236
1720108131.752827 -6.522638 -3.502132 0.000000 0.000000 0.000000 0.961632 -0.274342
1720108132.095104 -6.563964 -3.487381 0.000000 0.000000 0.000000 0.976222 -0.216772
1720108133.248356 -6.579999 -3.513026 0.000000 0.000000 0.000000 0.985388 -0.170326
1720108133.720460 -6.583792 -3.515197 0.000000 0.000000 0.000000 0.992852 -0.119349
1720108135.529998 -6.482909 -3.483003 0.000000 0.000000 0.000000 0.990151 -0.140002
1720108136.080658 -6.367922 -3.456648 0.000000 0.000000 0.000000 0.986148 -0.165869
1720108136.548770 -6.272418 -3.411836 0.000000 0.000000 0.000000 0.982860 -0.184355
1720108137.103442 -6.166374 -3.357214 0.000000 0.000000 0.000000 0.981502 -0.191453
1720108137.732989 -6.063854 -3.320648 0.000000 0.000000 0.000000 0.987919 -0.154974
1720108138.362598 -5.944481 -3.296335 0.000000 0.000000 0.000000 0.992773 -0.120004
1720108138.834384 -5.825966 -3.273523 0.000000 0.000000 0.000000 0.994233 -0.107245
1720108139.227368 -5.736236 -3.229382 0.000000 0.000000 0.000000 0.994245 -0.107129
1720108139.621251 -5.635124 -3.209500 0.000000 0.000000 0.000000 0.992339 -0.123544
1720108140.014319 -5.545978 -3.193182 0.000000 0.000000 0.000000 0.984550 -0.175102
1720108140.285189 -5.496831 -3.161550 0.000000 0.000000 0.000000 0.973219 -0.229880
1720108140.521760 -5.467438 -3.146197 0.000000 0.000000 0.000000 0.959261 -0.282521
1720108140.722043 -5.449131 -3.150170 0.000000 0.000000 0.000000 0.943757 -0.330640
1720108140.916226 -5.449408 -3.124953 0.000000 0.000000 0.000000 0.922794 -0.385295
1720108141.073535 -5.441381 -3.114815 0.000000 0.000000 0.000000 0.900222 -0.435431
1720108141.231417 -5.435182 -3.107023 0.000000 0.000000 0.000000 0.872039 -0.489436
1720108141.388907 -5.442478 -3.084472 0.000000 0.000000 0.000000 -0.841178 0.540758
1720108141.546664 -5.441980 -3.078732 0.000000 0.000000 0.000000 -0.805866 0.592097
1720108141.704653 -5.441654 -3.068299 0.000000 0.000000 0.000000 -0.768083 0.640351
1720108141.862295 -5.442253 -3.060280 0.000000 0.000000 0.000000 -0.724647 0.689120
1720108142.020087 -5.436924 -3.052432 0.000000 0.000000 0.000000 -0.677846 0.735204
1720108142.177608 -5.430544 -3.044404 0.000000 0.000000 0.000000 -0.629516 0.776987
1720108142.334968 -5.436612 -3.037857 0.000000 0.000000 0.000000 -0.579252 0.815149
1720108142.492206 -5.454834 -3.032241 0.000000 0.000000 0.000000 -0.527886 0.849315
1720108142.649745 -5.448673 -3.039750 0.000000 0.000000 0.000000 -0.473170 0.880971
1720108142.807020 -5.439757 -3.048863 0.000000 0.000000 0.000000 -0.423537 0.905879
1720108142.964273 -5.437598 -3.049045 0.000000 0.000000 0.000000 -0.370644 0.928775
1720108143.121707 -5.428315 -3.059145 0.000000 0.000000 0.000000 -0.320849 0.947130
1720108143.278959 -5.420119 -3.057549 0.000000 0.000000 0.000000 -0.267885 0.963451
1720108143.436266 -5.414445 -3.070417 0.000000 0.000000 0.000000 -0.214513 0.976721
1720108143.593658 -5.396688 -3.075510 0.000000 0.000000 0.000000 -0.159180 0.987249
1720108145.208321 -5.394389 -3.073443 0.000000 0.000000 0.000000 -0.216078 0.976376
1720108146.388053 -5.412503 -3.065160 0.000000 0.000000 0.000000 -0.161644 0.986849
1720108146.624036 -5.426577 -3.062928 0.000000 0.000000 0.000000 -0.110522 0.993874
1720108146.860261 -5.441554 -3.057432 0.000000 0.000000 0.000000 -0.060249 0.998183
1720108147.096180 -5.445027 -3.063885 0.000000 0.000000 0.000000 -0.004993 0.999988
1720108147.332210 -5.455262 -3.060850 0.000000 0.000000 0.000000 0.050704 0.998714
1720108147.568329 -5.478351 -3.060903 0.000000 0.000000 0.000000 0.101170 0.994869
